기능,BE,FE,Method,URL,param,기타,사용자,설명,카테고리
로그인 하기,test 완료,test 완료,POST,/auth/login,,,유저,로그인 합니다.,인증
유저 조회,구현 완료,구현 완료,GET,/users/{user_id},,,관리자,ID를 사용하여 학생을 조회합니다.,유저
new Endpoint,시작 전,시작 전,,,,,,,
모든 유저 목록,test 완료,구현 완료,GET,/users,,응답에는 page_size보다 적은 수의 결과가 나올 수 있습니다.,관리자,"모든 유저 목록을 조회합니다. ",유저
출결 검색,구현 완료,시작 전,GET,/search,"id , date",,관리자,"ID 와 Date를 사용하여 유저의 출결 정보를 검색합니다. ",검색
